;month;day;hour;minute;avg_generation;ano_1
588;1;25;12;0;551.5236238;551.5236238
589;1;25;13;0;576.8054613;576.8054613
590;1;25;14;0;552.0771582;552.0771582
591;1;25;15;0;537.0526525;537.0526525
592;1;25;16;0;516.3459465;516.3459465
593;1;25;17;0;422.7929808;422.7929808
594;1;25;18;0;85.28383921;85.28383921
595;1;25;19;0;-0.650685362;-0.650685362
596;1;25;20;0;-0.650685362;-0.650685362
597;1;25;21;0;-0.650685362;-0.650685362
598;1;25;22;0;-0.650685362;-0.650685362
599;1;25;23;0;-0.650685362;-0.650685362
600;1;26;0;0;-0.650685362;-0.650685362
601;1;26;1;0;-0.650685362;-0.650685362
602;1;26;2;0;-0.650685362;-0.650685362
603;1;26;3;0;-0.650685362;-0.650685362
604;1;26;4;0;-0.650685362;-0.650685362
605;1;26;5;0;-0.650685362;-0.650685362
